productId,name,price,image,shortDescription,longDescription,Category
1,Cathedral Window Haworthia,1505,/images/window-haworthia-1.jpg,"4"" Clay Pot","Haworthia cymbiformis, also known as Cathedral Window Haworthia or Window Haworthia, is a drought-tolerant evergreen succulent with rosettes up to 3 inches (8 cm) tall and 4 inches (10 cm) in diameter.  Its pale green leaves are fleshy, bulbous, and tender with dark stripes running across the length of each leaf and turning translucent at the tip. This species has flowers that are white or light pink with brown-green veins growing from 8 inches (20 cm) tall inflorescence. Window Haworthia is a popular houseplant because it is super easy to grow and low maintenance. Whether you grow it indoors or outdoors, the growing conditions for this plant remain the same.",Haworthia
2,Haworthia Cooperi,1505,/images/haworthia-cooperi-1.jpg,"4"" Clay Pot","Haworthia Cooperi is a slowly growing, low succulent plant. It grow in clumps of small rosettes of tiny, fleshy, light green leaves, up to 2 inches (5 cm) long. Its short stem produces many leaves that are just long enough to reach the soil surface, the transparent tips allowing light into the factory below. When flowering in spring to summer, it bears a peduncle simple inflorescence (up to 12 inches (30 cm) long) of whitish flowers.",Haworthia
3,Haworthia Cuspidata,1505,/images/haworthia-cuspidata-1.jpg,"4"" Clay Pot","Haworthia cuspidata is a strong and pretty hardy succulents. It forms star-like shaped rosette up to 4 inches in diameter. Also called ""Star Window Plant"", it has dark green leaves with translucent areas near the tips. It grows offsets freely and hence can be grown as a ground cover. In spring, it produces small white flowers on thin long stems.",Haworthia
4,Haworthia Cymbiformus Var. Obtusa,1555,/images/haworthia-cymbiformios-var-obtusa-1.jpg,"4"" Clay Pot","Haworthia Cymbiformis Var. Obtusa is one of the innumerable morphological forms of the very variable Haworthia cymbiformis characterized by denser rosettes up to 6 inches (15 cm) in diameter, forming round clumps. It has peculiar bright green leaves that looks like molded glass. Thay are succulent, soft, very juicy, obovate with entire margins, and leaf-tips are rather obtuse or rounded. White to very pale pink flowers with brownish-green veins are borne on a 8 inches (20 cm) tall inflorescence.",Haworthia
5,Haworthia Batesiana,585,/images/haworthia-batesiana-1.jpg,"2"" Clay Pot",Haworthia Batesiana has miniature rosettes with translucent bright green leaves marked with a net of deeper green. These succulent leaves have smooth margins and a terminal white spine. Rosettes offset freely to form dense clumps. Their shape and coloration make them perfect for succulent arrangements and make perfect gifts in a pot for the home or office desk.,Haworthia
6,Silver Haworthia,1045,/images/silver-haworthia-1.jpg,"4"" Clay Pot","This listing is for a special 4"" silver Haworthia retusa var. acuminata f. variegata. It is also known as 'Grey Ghost' for its pale foliage with white-grey patterned variegation. It produces offsets slowly to form a beautiful clump. The amount of light each individual plant receives determines its varying appearance.",Haworthia
7,Variegated Aloe,1555,/images/variegated-aloe-1.jpg,"4"" Clay Pot",Variegated Aloe with amazing white/cream and green stripes. Its leaves are toothed and sword-shaped. This is a sprawling succulent that can grow up to 10 ft (3m). Deep orange or red flowers bloom about 2 ft above the foliage.,Haworthia
8,Echeveria Tippy Pink,1505,/images/echeveria-tippy-pink-1.jpg,"4"" Clay Pot","Echeveria Tippy is a hybrid of Echeveria Chihuahuensis. It is a lovely rosette succulent with cute rosy tips on light blue-green leaves. The thick pointy leaves are coated with a thin white powder, which gives it a soft pastel look. The rosettes can grow up to 6 inches in diameter. In spring and summer, Echeveria Tippy produces stalks of orange bell-shaped flowers, which are attractive to hummingbirds and butterflies.",Echeveria
9,Echeveria Topsy Turvy,1505,/images/echeveria-topsy-tury-1.jpg,"4"" Clay Pot","Echeveria Topsy Turvy is an unusual Echeveria with silvery green leaf tips pointing inwards towards the center of the plant. The rosettes can grow up to 10 inches in diameter. Echeveria Topsy Turvy grows quickly and produces multiple offsets so it can form a dense carpet over time. In late summer to fall, Echeveria Topsy Turvy produces orange bell-shaped flowers with tips that open up like little stars.",Echeveria
10,Echeveria Black Knight,1655,/images/echeveria-black-knight-1.jpg,"4"" Clay Pot","Echeveria Black Knight is an interesting succulent with dark-colored pointy narrow leaves. It's one of the darkest Echeverias, together with Echeveria Black Prince. In summer, it produces dark red flowers, which add an extra sense of drama to this stunning species.",Echeveria
11,Echeveria Blue Elf,1505,/images/echeveria-sedeveria-blue-elf-1.jpg,"4"" Clay Pot","Echeveria Blue Elf is a hybrid between Sedum and Echeveria, which gives it the rosette look of Echeveria and the ability to grow multiple offsets of Sedum. Sedeveria Blue Elf has teal green leaves with amazing red tips that darken in winter. An outstanding bloomer, Sedeveria Blue Elf produces clusters of bright yellow flowers multiple times a year, which give it its nickname ""Happy Plant"".",Echeveria
12,Crested Echeveria Frosty,1655,/images/echeveria-crested-frosty-1.jpg,"4"" Clay Pot",Echeveria pulvinata 'Frosty' - White Chenille Plant: Pale whitish green rosettes thickly covered with silvery white hairs. Velvet texture. Shrub like grower. Yellow-orange blooms in summer. Tender soft succulent - will not tolerate frost.,Echeveria
13,Cactus Pack,900,/images/cactus-pack-1.jpg,"4 Cactus in 2"" Clay Pot","Enjoy your gardening with our Cactus Pack. In this pack, you'll receive varieties of cactus that are easy to grow, incredibly adaptable, relatively pest-free, and are low maintenance - ideal for any home, office, or garden. Each pack contains a random variety of cactus with a size of 2-inches - fully rooted in a plastic pot with soil. Order now and give your friend or special someone a cactus gift they can admire and grow at home, office, or garden to make a perfect green space.",Cactus
14,Opuntia Rufida Minima Cinnamon Cactus,885,/images/opuntia-rufida-minima-1.jpg,"2"" Clay Pot","Opuntia Rufida Minima is a miniature prickly pear version also known as Cinnamon Cactus which only grows to approx. 8"" to 10"" in height. The pads are covered with very small brownish-cinnamon colored spines or glochids. Very compact and self branching a good variety for growing as a houseplant or placement outdoors in frost-free locations in the rock garden. Its spikes are small therefore you have to be careful when touching it.",Cactus
15,Mammillaria Spinosissima Cactus,1045,/images/mammillaria-spinosissima-1.jpg,"3"" Clay Pot","Mammillaria Spinosissima cactus is also known as Red-headed Irishman with cylyndrical, dark green stem, up to 12 inches (30 cm) tall and up to 4 inches (10 cm) in diameter, almost hidden under a dense covering of spines. Flowers are purplish or deep-pink in spring. The Red-Headed Irishman will do best outdoors, though it may be kept indoors as well.",Cactus
16,Echinocereus Pulchellus Var Acanthosetus Cactus,1505,/images/echinocereus-pulchellus-var-acanthosetus-1.jpg,"3"" Clay Pot","Echinocereus Pulchellus var acanthosetus is a solitary or clumping cactus with flat globular bodies and short pale spines. The stems are hemispherical and up to 6 cm (but cultivated plants are frequently higher), 5-7cm in diameter, bluish-green when young. The flowers are showy, pinkish-white to hot pink, up to 6 cm in diameter.",Cactus
