productId,imageId,imageURL
1,1,/images/window-haworthia-1.jpg
1,2,/images/window-haworthia-2.jpg
1,3,/images/window-haworthia-3.jpg
1,4,/images/window-haworthia-4.jpg
1,5,/images/window-haworthia-5.jpg
2,6,/images/haworthia-cooperi-1.jpg
2,7,/images/haworthia-cooperi-2.jpg
2,8,/images/haworthia-cooperi-3.jpg
2,9,/images/haworthia-cooperi-4.jpg
2,10,/images/haworthia-cooperi-5.jpg
3,11,/images/haworthia-cuspidata-1.jpg
3,12,/images/haworthia-cuspidata-2.jpg
3,13,/images/haworthia-cuspidata-3.jpg
3,14,/images/haworthia-cuspidata-4.jpg
3,15,/images/haworthia-cuspidata-5.jpg
4,16,/images/haworthia-cymbiformios-var-obtusa-1.jpg
4,17,/images/haworthia-cymbiformios-var-obtusa-2.jpg
4,18,/images/haworthia-cymbiformios-var-obtusa-3.jpg
4,19,/images/haworthia-cymbiformios-var-obtusa-4.jpg
4,20,/images/haworthia-cymbiformios-var-obtusa-5.jpg
5,21,/images/haworthia-batesiana-1.jpg
5,22,/images/haworthia-batesiana-2.jpg
5,23,/images/haworthia-batesiana-3.jpg
5,24,/images/haworthia-batesiana-4.jpg
6,25,/images/silver-haworthia-1.jpg
6,26,/images/silver-haworthia-2.jpg
6,27,/images/silver-haworthia-3.jpg
6,28,/images/silver-haworthia-4.jpg
7,29,/images/variegated-aloe-1.jpg
7,30,/images/variegated-aloe-2.jpg
7,31,/images/variegated-aloe-3.jpg
7,32,/images/variegated-aloe-4.jpg
7,33,/images/variegated-aloe-5.jpg
8,34,/images/echeveria-tippy-pink-1.jpg
8,35,/images/echeveria-tippy-pink-2.jpg
8,36,/images/echeveria-tippy-pink-3.jpg
8,37,/images/echeveria-tippy-pink-4.jpg
9,38,/images/echeveria-topsy-turvy-1.jpg
9,39,/images/echeveria-topsy-turvy-2.jpg
9,40,/images/echeveria-topsy-turvy-3.jpg
9,41,/images/echeveria-topsy-turvy-4.jpg
