productId,imageId,imageURL
17,2,/images/bionic-commando-back.jpg
17,1,/images/bionic-commando-front.jpg
17,3,/images/bionic-commando-screenshot-1.png
17,4,/images/bionic-commando-screenshot-2.png
17,5,/images/bionic-commando-screenshot-3.png
19,7,/images/blaster-master-back.jpg
19,6,/images/blaster-master-front.jpg
19,8,/images/blaster-master-screenshot-1.gif
19,9,/images/blaster-master-screenshot-2.jpg
19,10,/images/blaster-master-screenshot-3.jpg
14,12,/images/bubble-bobble-back.jpg
14,11,/images/bubble-bobble-front.jpg
14,13,/images/bubble-bobble-screenshot-1.gif
14,14,/images/bubble-bobble-screenshot-2.gif
14,15,/images/bubble-bobble-screenshot-3.gif
18,17,/images/castlevania-back.jpg
18,16,/images/castlevania-front.jpg
4,22,/images/castlevania-iii-back.jpg
4,21,/images/castlevania-iii-front.jpg
4,23,/images/castlevania-iii-screenshot-1.png
4,24,/images/castlevania-iii-screenshot-2.png
4,25,/images/castlevania-iii-screenshot-3.png
18,18,/images/castlevania-screenshot-1.jpg
18,19,/images/castlevania-screenshot-2.png
18,20,/images/castlevania-screenshot-3.png
8,27,/images/contra-back.jpg
8,26,/images/contra-front.jpg
8,28,/images/contra-screenshot-1.gif
8,29,/images/contra-screenshot-2.gif
8,30,/images/contra-screenshot-3.gif
9,32,/images/final-fantasy-back.jpg
9,31,/images/final-fantasy-front.jpg
9,33,/images/final-fantasy-screenshot-1.jpg
9,34,/images/final-fantasy-screenshot-2.jpg
9,35,/images/final-fantasy-screenshot-3.jpg
12,37,/images/kirbys-adventure-back.jpg
12,36,/images/kirbys-adventure-front.jpg
12,38,/images/kirbys-adventure-screenshot-1.jpg
12,39,/images/kirbys-adventure-screenshot-2.png
12,40,/images/kirbys-adventure-screenshot-3.png
2,42,/images/legend-of-zelda-back.jpg
2,41,/images/legend-of-zelda-front.jpg
2,43,/images/legend-of-zelda-screenshot-1.jpg
2,44,/images/legend-of-zelda-screenshot-2.png
2,45,/images/legend-of-zelda-screenshot-3.png
3,47,/images/mega-man-2-back.jpg
3,46,/images/mega-man-2-front.jpg
3,48,/images/mega-man-2-screenshot-1.png
3,49,/images/mega-man-2-screenshot-2.png
3,50,/images/mega-man-2-screenshot-3.png
11,52,/images/mega-man-3-back.jpg
11,51,/images/mega-man-3-front.jpg
11,53,/images/mega-man-3-screenshot-1.png
11,54,/images/mega-man-3-screenshot-2.png
11,55,/images/mega-man-3-screenshot-3.png
5,57,/images/metroid-back.jpg
5,56,/images/metroid-front.jpg
5,58,/images/metroid-screenshot-1.jpg
5,59,/images/metroid-screenshot-2.png
5,60,/images/metroid-screenshot-3.png
6,62,/images/mike-tysons-punch-out-back.jpg
6,61,/images/mike-tysons-punch-out-front.jpg
6,63,/images/mike-tysons-punch-out-screenshot-1.png
6,64,/images/mike-tysons-punch-out-screenshot-2.png
6,65,/images/mike-tysons-punch-out-screenshot-3.png
20,67,/images/ninja-gaiden-back.jpg
20,66,/images/ninja-gaiden-front.jpg
20,68,/images/ninja-gaiden-screenshot-1.jpg
20,69,/images/ninja-gaiden-screenshot-2.png
20,70,/images/ninja-gaiden-screenshot-3.png
13,72,/images/river-city-ransom-back.jpg
13,71,/images/river-city-ransom-front.jpg
13,73,/images/river-city-ransom-screenshot-1.gif
13,74,/images/river-city-ransom-screenshot-2.png
13,75,/images/river-city-ransom-screenshot-3.gif
16,77,/images/super-mario-bros-2-back.jpg
16,76,/images/super-mario-bros-2-front.jpg
16,78,/images/super-mario-bros-2-screenshot-1.png
16,79,/images/super-mario-bros-2-screenshot-2.png
16,80,/images/super-mario-bros-2-screenshot-3.png
1,82,/images/super-mario-bros-3-back.jpg
1,81,/images/super-mario-bros-3-front.jpg
1,83,/images/super-mario-bros-3-screenshot-1.jpg
1,84,/images/super-mario-bros-3-screenshot-2.png
1,85,/images/super-mario-bros-3-screenshot-3.png
7,87,/images/super-mario-bros-back.jpg
7,86,/images/super-mario-bros-front.jpg
7,88,/images/super-mario-bros-screenshot-1.png
7,89,/images/super-mario-bros-screenshot-2.png
7,90,/images/super-mario-bros-screenshot-3.png
10,92,/images/tetris-back.jpg
10,91,/images/tetris-front.jpg
10,93,/images/tetris-screenshot-1.jpg
10,94,/images/tetris-screenshot-2.jpg
10,95,/images/tetris-screenshot-3.jpg
15,97,/images/zelda-2-back.jpg
15,96,/images/zelda-2-front.jpg
15,98,/images/zelda-2-screenshot-1.jpg
15,99,/images/zelda-2-screenshot-2.png
15,100,/images/zelda-2-screenshot-3.png
